lat,lon
12.62852746,124.4143863
13.38186469,123.8409784
13.91032083,123.8393846
14.41293765,122.957971
14.73136279,122.1603064
26.332147,127.742108
26.357521,127.73929
26.4411579,127.776375
26.443839,127.78495
26.712332,127.881332
26.614369,127.893672
26.0868946,127.7062643
26.364457,127.875996
26.300303,128.004122
26.354029,127.997273
27.3564919,120.6398483
21.941617,120.7537931
21.89780004,120.8675636
27.43379947,121.0313318
27.64397279,121.2016472
22.79580963,121.203539
22.89894752,121.2630103
23.23069239,121.4183155
22.65632432,121.4709703
22.02127131,121.5369018
22.04008955,121.5713519
20.33884186,121.7827916
20.33986796,121.8716934
20.41033668,121.9338063
25.0428475,121.9391974
20.42140204,121.97955
24.44180208,122.9849696
24.19709477,123.5737823
24.272911,123.7294265
24.04750085,123.7706174
24.42620241,123.8397306
24.2462819,123.8426802
24.40105505,123.8852041
24.20523194,124.0071075
24.30947527,124.0936441
24.25326649,124.114684
24.42721846,124.1147877
24.4585988,124.2649879
24.58600809,124.2945813
24.74143378,124.6984042
24.85556554,125.1900609
24.9866599,125.2797824
24.71332242,125.2918134
24.90679581,125.3203357
24.98100357,125.3613744
24.82455825,125.4023341
24.71474419,125.4650465
26.35889055,126.8183776
26.39283965,127.1037333
26.38119364,127.1510004
26.57101798,127.2084552
26.21386329,127.2521485
26.15169796,127.2731521
26.15496652,127.2923774
26.24753577,127.3151208
26.22400105,127.3340239
26.23944547,127.4076901
26.09844143,127.5325858
26.25757955,127.5433053
26.1667543,127.6387432
26.71872874,127.7489593
26.18366193,127.798547
26.22092685,127.8009974
26.64458412,127.8118653
26.70514842,127.825203
26.17266862,127.8346588
26.14345062,127.8620917
26.35097276,127.8891872
26.15872179,127.8982973
26.90458267,127.9296839
26.53903652,127.9331472
26.19003946,127.9443761
26.93645089,127.9615522
27.0366361,127.9773926
26.56217215,127.9803848
26.56574905,127.9803848
26.49749047,128.0207975
26.74626642,128.1705144
26.62134172,128.1715557
27.07514457,128.4209877
27.02791214,128.4732255
27.32568221,128.5479294
27.38536147,128.6731914
27.87198464,128.980936
